dx, dy
-40, 5.0597911333519
-39, 4.6744953668388
-38, 4.3361366565893
-37, 4.0420918305162
-36, 3.7897395979012
-35, 3.5757950517519
-34, 3.3349173306355
-33, 3.0839935821126
-32, 2.8257585160171
-31, 2.565511685056
-30, 2.3077977169782
-29, 2.0583738870098
-28, 1.8192846092745
-27, 1.5950022307818
-26, 1.3852624485253
-25, 1.1935823054424
-24, 1.0170750742725
-23, 0.85928854713806
-22, 0.71519313409205
-21, 0.58922118659936
-20, 0.47505550310823
-19, 0.37707730712709
-18, 0.28909998396039
-17, 0.21465856816483
-16, 0.14896540768614
-15, 0.09478766692469
-14, 0.047650565298226
-13, 0.010560628673961
-12, -0.020893107459536
-11, -0.043942094041904
-10, -0.062555334323229
-9, -0.073572164302238
-8, -0.082355669078458
-7, -0.083511404576095
-6, -0.083601014956394
-5, -0.076215395614602
-4, -0.068777786162463
-3, -0.054727845924658
-2, -0.04008147335891
-1, -0.020498500910344
0, 1.4204864345227e-005
1, 0.024356378318803
2, 0.049694728054619
3, 0.078364126034347
4, 0.10778838864984
5, 0.13947995953026
6, 0.17294757363686
7, 0.20825316711773
8, 0.2443384332116
9, 0.28172583807337
10, 0.32061137760767
11, 0.36110814924359
12, 0.40223764869678
13, 0.44496453250194
14, 0.48917088537847
15, 0.53311894003639
16, 0.57849783182845
17, 0.62498232926622
18, 0.67213144186451
19, 0.71946160627953
20, 0.76922801893474
21, 0.81918956320762
22, 0.86970389618318
23, 0.92029375389642
24, 0.97372948360437
25, 1.0258351613865
26, 1.080467166438
27, 1.1356303380528
28, 1.1928436222889
29, 1.250504390579
30, 1.3101739935857
31, 1.3711060514101
32, 1.4357644484232
33, 1.5014851560215
34, 1.5745526671372
35, 1.6486371993356
36, 1.7296064444458
37, 1.814539509745
38, 1.91163298517
39, 2.0116633770927
40, 2.1314916612239
